w.um,n,E
0.25,2.08030441823687,4.95937
0.263,2.02717445813538,4.71423
0.2767,1.984659056014032,4.48082
0.2911,1.950089575199319,4.25916
0.3063,1.9214420354029969,4.0478
0.3222,1.897618998483712,3.84805
0.339,1.8774002096740992,3.65735
0.3566,1.86024161075396,3.47684
0.3752,1.845446119436813,3.30448
0.3947,1.832713407591935,3.14123
0.4153,1.821613812329723,2.98541
0.4369,1.8119664988197857,2.83782
0.4597,1.8034913859982349,2.69707
0.4836,1.79607153863538,2.56378
0.5088,1.789516492225651,2.4368
0.5353,1.783726111712225,2.31616
0.5631,1.778609817540105,2.20181
0.5924,1.774057953644201,2.09291
0.6233,1.769999477546943,1.98916
0.6557,1.766395268781322,1.89087
0.6899,1.76316804617976,1.79713
0.7258,1.760290591385437,1.70824
0.7636,1.7577134899301798,1.62368
0.8033,1.755408306996829,1.54344
0.8451,1.753338714921047,1.46709
0.8891,1.751479319302818,1.39449
0.9354,1.7498077026459828,1.32547
0.9841,1.748303975761575,1.25987
1.035,1.746957762259649,1.19791
1.089,1.745733297749096,1.13851
1.146,1.74462491406838,1.08189
1.206,1.743623403249039,1.02806
1.268,1.742732675696813,0.97779
1.334,1.741914967083544,0.92942
1.404,1.741166857650456,0.88308
1.477,1.740492475896097,0.83943
1.554,1.73987587500753,0.79784
1.635,1.739312199566774,0.75831
1.72,1.738796441919304,0.72084
1.809,1.7383236203187908,0.68537
1.904,1.7378801290070411,0.65118
2.003,1.737472122003971,0.61899
2.107,1.737091323783009,0.58844
2.217,1.7367312627892328,0.55924
2.332,1.736392292844168,0.53166
2.454,1.736065895948728,0.50523
2.581,1.73575475528822,0.48037
2.716,1.7354490203968491,0.4565
2.857,1.7351509306446729,0.43397
3.006,1.734853807391106,0.41246
3.162,1.734557311578691,0.39211
3.327,1.734255307814321,0.37266
3.5,1.733947290537639,0.35424
3.682,1.73362901637051,0.33673
3.874,1.733296246165207,0.32004
4.076,1.732946362141577,0.30418
4.288,1.73257660468485,0.28914
4.511,1.732182316923859,0.27485
4.746,1.731758587872878,0.26124
4.993,1.731302041612961,0.24832
5.253,1.730807189803195,0.23603
5.527,1.730268106769721,0.22432
5.814,1.729682512578568,0.21325
6.117,1.729039564611914,0.20269
6.435,1.728336141119735,0.19267
6.77,1.727562112048993,0.18314
7.123,1.7267086518118,0.17406
7.494,1.725768666881612,0.16544
7.884,1.724731902566256,0.15726
8.294,1.723587104175372,0.14949
8.726,1.722318900629574,0.14209
9.18,1.7209164008299211,0.13506
9.658,1.7193612989257678,0.12837
10.16,1.7176401075133532,0.12203
10.69,1.715723531884016,0.11598
11.25,1.713585794394969,0.11021
11.83,1.711247649605063,0.1048
12.45,1.708606246034837,0.09959
13.1,1.7056765779799918,0.09464
13.78,1.702432435275286,0.08997
14.5,1.6987934064779862,0.08551
15.25,1.69477440591935,0.0813
16.04,1.690282719243485,0.0773
16.88,1.685207947044139,0.07345
17.76,1.679551114031643,0.06981
18.68,1.673252189310757,0.06637
19.66,1.666093519467867,0.06306
20.68,1.658130613293187,0.05995
21.76,1.649104103748099,0.05698
22.89,1.638971361005843,0.05417
24.08,1.627497133121678,0.05149
25.33,1.614501777328456,0.04895
26.65,1.5996579260704151,0.04652
28.04,1.582686545701637,0.04422
29.5,1.563252267651945,0.04203
31.04,1.540794720850129,0.03994
32.65,1.5149329771486109,0.03797
34.35,1.484656017268676,0.03609
36.14,1.449018327237711,0.03431
38.02,1.406771777651145,0.03261
40.0,1.355947222371888,0.031
